,Date,1,2,3,4,5,6,7
5,"Dec 25, 82",11,18,22,28,35,37,42
6,"Dec 18, 82",7,13,23,32,33,45,36
7,"Dec 11, 82",4,9,10,11,43,46,3
8,"Dec 4, 82",6,17,24,36,38,46,29
9,"Nov 27, 82",5,17,21,28,30,43,36
10,"Nov 20, 82",3,4,19,33,34,48,39
11,"Nov 13, 82",4,11,23,24,25,45,41
12,"Nov 6, 82",8,14,16,18,31,48,45
13,"Oct 30, 82",11,18,19,31,37,45,41
14,"Oct 23, 82",7,18,23,25,37,45,39
15,"Oct 16, 82",11,23,25,28,29,36,27
16,"Oct 9, 82",13,16,18,34,35,36,26
17,"Oct 2, 82",4,14,18,40,43,44,5
18,"Sep 25, 82",9,12,13,14,44,48,18
19,"Sep 18, 82",8,18,36,39,41,47,31
20,"Sep 11, 82",25,28,29,30,35,44,3
21,"Sep 4, 82",7,14,17,20,37,47,34
22,"Aug 28, 82",11,17,19,20,36,43,9
23,"Aug 21, 82",7,9,21,33,38,42,45
24,"Aug 14, 82",4,15,30,37,46,48,3
25,"Aug 7, 82",5,10,23,27,37,38,33
26,"Jul 31, 82",7,16,17,31,40,48,26
27,"Jul 24, 82",18,25,28,33,36,42,7
28,"Jul 17, 82",8,20,21,25,31,41,33
29,"Jul 10, 82",5,14,21,31,34,47,45
30,"Jul 3, 82",3,9,10,13,20,43,34
31,"Jun 26, 82",1,6,23,24,27,39,34
32,"Jun 19, 82",8,33,36,37,39,41,9
33,"Jun 12, 82",3,11,12,14,41,43,13
36,"Dec 31, 83",7,22,25,27,30,35,45
37,"Dec 24, 83",1,2,13,21,42,48,7
38,"Dec 17, 83",7,9,20,28,35,41,16
39,"Dec 10, 83",1,14,22,25,40,42,19
40,"Dec 3, 83",3,5,19,26,32,43,30
41,"Nov 26, 83",3,12,16,21,33,49,44
42,"Nov 19, 83",4,14,16,30,33,38,22
43,"Nov 12, 83",1,2,7,13,22,31,5
44,"Nov 5, 83",18,20,23,26,33,49,31
45,"Oct 29, 83",1,5,7,8,11,13,3
46,"Oct 22, 83",8,14,25,32,34,35,16
47,"Oct 15, 83",2,3,23,26,27,40,4
48,"Oct 8, 83",13,23,37,43,48,49,27
49,"Oct 1, 83",1,15,20,22,24,49,40
50,"Sep 24, 83",1,6,15,34,42,44,49
51,"Sep 17, 83",9,21,22,29,48,49,28
52,"Sep 10, 83",23,30,32,33,35,44,2
