,Date,1,2,3,4,5,6,7
0,"September 19, 2015",12,15,17,21,25,32,14
1,"September 23, 2015",7,13,19,35,42,44,46
2,"September 26, 2015",6,13,14,24,32,34,12
3,"September 30, 2015",1,6,8,13,21,26,3
4,"October 3, 2015",1,3,15,27,31,36,33
5,"October 7, 2015",4,10,19,31,38,43,5
6,"October 10, 2015",8,12,22,27,35,41,16
7,"October 14, 2015",23,31,32,34,35,44,10
8,"October 17, 2015",4,5,6,22,29,30,20
9,"October 21, 2015",8,17,22,33,40,49,27
10,"October 24, 2015",1,13,28,34,37,45,32
11,"October 28, 2015",8,9,15,26,37,48,12
12,"October 31, 2015",3,14,20,28,40,44,48
13,"November 4, 2015",2,4,20,35,39,42,28
14,"November 7, 2015",2,3,9,17,20,21,11
15,"November 11, 2015",8,13,20,24,37,42,22
16,"November 14, 2015",5,8,23,39,41,48,26
17,"November 18, 2015",3,8,25,27,36,38,32
18,"November 21, 2015",7,16,28,29,48,49,9
19,"November 25, 2015",1,2,3,4,29,48,21
20,"November 28, 2015",4,7,13,15,27,28,30
21,"December 2, 2015",5,20,33,34,38,48,21
22,"December 5, 2015",10,11,17,24,26,29,12
23,"December 9, 2015",4,20,26,37,45,46,6
24,"December 12, 2015",2,10,18,20,30,41,38
25,"December 16, 2015",7,20,33,36,39,48,21
26,"December 19, 2015",4,15,20,23,27,49,25
27,"December 23, 2015",5,9,17,31,38,46,10
28,"December 26, 2015",12,16,22,29,35,40,8
29,"December 30, 2015",17,19,21,30,39,44,16
30,"January 2, 2016",10,12,16,20,27,36,25
31,"January 6, 2016",2,35,37,39,43,44,20
32,"January 9, 2016",5,22,30,33,45,48,29
33,"January 13, 2016",6,8,25,39,46,47,28
34,"January 16, 2016",9,21,29,34,38,42,13
35,"January 20, 2016",7,19,32,39,40,48,45
36,"January 23, 2016",21,31,34,37,38,44,9
37,"January 27, 2016",4,13,24,36,39,41,47
38,"January 30, 2016",4,5,32,37,38,44,34
39,"February 3, 2016",20,23,34,38,43,47,15
40,"February 6, 2016",7,19,25,26,31,44,35
41,"February 10, 2016",8,13,33,34,38,43,12
42,"February 13, 2016",2,9,25,27,31,42,18
43,"February 17, 2016",7,21,28,32,38,42,5
44,"February 20, 2016",4,8,10,30,33,39,25
45,"February 24, 2016",14,18,35,38,41,43,15
46,"February 27, 2016",4,11,20,23,41,45,22
47,"March 2, 2016",20,27,30,32,34,40,9
48,"March 5, 2016",7,13,27,33,35,36,5
49,"March 9, 2016",3,5,11,16,21,45,29
50,"March 12, 2016",6,27,30,34,35,42,16
51,"March 16, 2016",1,3,7,16,17,37,35
52,"March 19, 2016",1,10,11,12,19,27,29
53,"March 23, 2016",4,6,13,28,29,36,9
54,"March 26, 2016",9,11,20,22,37,46,47
55,"March 30, 2016",14,27,28,30,45,46,44
56,"April 2, 2016",2,15,21,40,41,44,23
57,"April 6, 2016",1,3,5,8,13,31,21
58,"April 9, 2016",12,29,34,44,47,49,37
59,"April 13, 2016",10,14,23,41,42,47,19
60,"April 16, 2016",9,12,21,37,38,43,31
61,"April 20, 2016",1,2,7,9,18,27,5
62,"April 23, 2016",14,29,37,41,48,49,31
63,"April 27, 2016",3,18,28,29,37,43,47
64,"April 30, 2016",1,7,18,28,30,34,48
65,"May 4, 2016",4,16,19,22,36,40,21
66,"May 7, 2016",6,8,25,31,32,33,1
67,"May 11, 2016",4,23,25,36,47,48,3
68,"May 14, 2016",8,21,24,33,41,46,29
69,"May 18, 2016",4,11,21,25,44,47,3
70,"May 21, 2016",6,10,37,39,42,48,28
71,"May 25, 2016",4,17,18,24,29,39,21
72,"May 28, 2016",18,29,31,36,43,47,23
73,"June 1, 2016",2,10,14,23,26,31,12
74,"June 4, 2016",3,4,6,10,18,26,14
75,"June 8, 2016",6,23,34,35,38,44,21
76,"June 11, 2016",9,28,36,37,40,46,47
77,"June 15, 2016",7,16,22,27,35,49,11
78,"June 18, 2016",7,8,22,32,40,45,25
79,"June 22, 2016",5,15,17,18,37,42,44
80,"June 25, 2016",4,5,6,8,39,42,30
81,"June 29, 2016",8,11,20,24,41,42,47
82,"July 2, 2016",1,16,28,33,39,45,13
83,"July 6, 2016",7,12,22,35,39,43,13
84,"July 9, 2016",23,28,30,32,42,44,24
85,"July 13, 2016",2,7,25,30,34,36,6
86,"July 16, 2016",15,25,26,33,38,47,27
87,"July 20, 2016",14,15,16,43,44,46,38
88,"July 23, 2016",7,18,34,41,48,49,29
89,"July 27, 2016",6,7,9,39,47,49,15
90,"July 30, 2016",4,5,9,19,22,23,16
91,"August 3, 2016",23,30,38,40,43,45,10
92,"August 6, 2016",2,7,22,26,32,38,20
93,"August 10, 2016",6,25,26,29,37,43,41
94,"August 13, 2016",3,4,15,17,38,47,36
95,"August 17, 2016",2,12,19,38,41,47,46
96,"August 20, 2016",11,20,26,32,39,43,49
97,"August 24, 2016",4,17,22,30,36,38,3
98,"August 27, 2016",3,14,16,33,47,48,29
