,Date,1,2,3,4,5,6,7
0,"Dec 25, 82",11,18,22,28,35,37,42
1,"Dec 18, 82",7,13,23,32,33,45,36
2,"Dec 11, 82",4,9,10,11,43,46,3
3,"Dec 4, 82",6,17,24,36,38,46,29
4,"Nov 27, 82",5,17,21,28,30,43,36
5,"Nov 20, 82",3,4,19,33,34,48,39
6,"Nov 13, 82",4,11,23,24,25,45,41
7,"Nov 6, 82",8,14,16,18,31,48,45
8,"Oct 30, 82",11,18,19,31,37,45,41
9,"Oct 23, 82",7,18,23,25,37,45,39
10,"Oct 16, 82",11,23,25,28,29,36,27
11,"Oct 9, 82",13,16,18,34,35,36,26
12,"Oct 2, 82",4,14,18,40,43,44,5
13,"Sep 25, 82",9,12,13,14,44,48,18
14,"Sep 18, 82",8,18,36,39,41,47,31
15,"Sep 11, 82",25,28,29,30,35,44,3
16,"Sep 4, 82",7,14,17,20,37,47,34
17,"Aug 28, 82",11,17,19,20,36,43,9
18,"Aug 21, 82",7,9,21,33,38,42,45
19,"Aug 14, 82",4,15,30,37,46,48,3
20,"Aug 7, 82",5,10,23,27,37,38,33
21,"Jul 31, 82",7,16,17,31,40,48,26
22,"Jul 24, 82",18,25,28,33,36,42,7
23,"Jul 17, 82",8,20,21,25,31,41,33
24,"Jul 10, 82",5,14,21,31,34,47,45
25,"Jul 3, 82",3,9,10,13,20,43,34
26,"Jun 26, 82",1,6,23,24,27,39,34
27,"Jun 19, 82",8,33,36,37,39,41,9
28,"Jun 12, 82",3,11,12,14,41,43,13
29,"Dec 31, 83",7,22,25,27,30,35,45
30,"Dec 24, 83",1,2,13,21,42,48,7
31,"Dec 17, 83",7,9,20,28,35,41,16
32,"Dec 10, 83",1,14,22,25,40,42,19
33,"Dec 3, 83",3,5,19,26,32,43,30
34,"Nov 26, 83",3,12,16,21,33,49,44
35,"Nov 19, 83",4,14,16,30,33,38,22
36,"Nov 12, 83",1,2,7,13,22,31,5
37,"Nov 5, 83",18,20,23,26,33,49,31
38,"Oct 29, 83",1,5,7,8,11,13,3
39,"Oct 22, 83",8,14,25,32,34,35,16
40,"Oct 15, 83",2,3,23,26,27,40,4
41,"Oct 8, 83",13,23,37,43,48,49,27
42,"Oct 1, 83",1,15,20,22,24,49,40
43,"Sep 24, 83",1,6,15,34,42,44,49
44,"Sep 17, 83",9,21,22,29,48,49,28
45,"Sep 10, 83",23,30,32,33,35,44,2
46,"Sep 3, 83",1,6,13,15,22,27,10
47,"Aug 27, 83",9,16,18,20,26,43,38
48,"Aug 20, 83",9,12,20,21,37,43,49
49,"Aug 13, 83",1,2,8,23,46,48,20
50,"Aug 6, 83",9,11,27,28,37,46,29
51,"Jul 30, 83",3,6,7,33,34,36,15
52,"Jul 23, 83",22,23,25,26,35,41,39
53,"Jul 16, 83",11,14,18,31,35,49,42
54,"Jul 9, 83",16,19,22,29,44,48,31
55,"Jul 2, 83",5,9,27,39,40,43,17
56,"Jun 25, 83",4,11,14,20,26,30,39
57,"Jun 18, 83",9,19,28,36,45,46,3
58,"Jun 11, 83",7,19,26,28,45,49,34
59,"Jun 4, 83",4,14,24,31,33,35,29
60,"May 28, 83",2,29,31,40,45,48,41
61,"May 21, 83",6,7,10,32,36,38,46
62,"May 14, 83",7,10,11,16,28,40,6
63,"May 7, 83",2,13,41,42,44,47,12
64,"Apr 30, 83",18,26,29,35,36,49,25
65,"Apr 23, 83",3,17,20,30,35,48,26
66,"Apr 16, 83",1,3,19,31,32,47,37
67,"Apr 9, 83",20,24,28,35,42,46,27
68,"Apr 2, 83",4,10,23,38,41,46,43
69,"Mar 26, 83",21,24,25,32,39,49,40
70,"Mar 19, 83",2,10,11,31,43,49,29
71,"Mar 12, 83",11,15,25,38,41,43,37
72,"Mar 5, 83",2,7,21,22,30,33,3
73,"Feb 26, 83",11,12,19,25,29,44,48
74,"Feb 19, 83",11,13,15,16,24,31,9
75,"Feb 12, 83",10,14,25,31,44,47,17
76,"Feb 5, 83",3,5,6,33,38,39,8
77,"Jan 29, 83",8,22,26,27,34,42,14
78,"Jan 22, 83",5,10,30,35,36,45,13
79,"Jan 15, 83",8,34,37,39,41,47,18
80,"Jan 8, 83",11,19,25,31,32,36,44
81,"Jan 1, 83",25,26,31,35,45,48,12
82,"Dec 29, 84",16,19,27,30,44,45,11
83,"Dec 22, 84",6,18,21,31,35,48,9
84,"Dec 15, 84",9,12,16,20,36,39,4
85,"Dec 8, 84",7,13,24,31,39,40,8
86,"Dec 1, 84",3,14,18,25,36,45,30
87,"Nov 24, 84",5,30,34,36,43,49,17
88,"Nov 17, 84",8,35,44,46,48,49,22
89,"Nov 10, 84",20,22,27,34,44,48,41
90,"Nov 3, 84",6,7,17,21,43,49,8
91,"Oct 27, 84",1,16,25,36,39,42,5
92,"Oct 20, 84",5,10,11,28,41,44,19
93,"Oct 13, 84",3,14,24,31,35,46,17
94,"Oct 6, 84",5,10,26,31,37,44,7
95,"Sep 29, 84",21,22,29,36,38,41,20
96,"Sep 22, 84",4,11,12,16,36,43,30
97,"Sep 15, 84",7,8,10,15,31,37,43
98,"Sep 8, 84",23,25,29,38,39,43,17
99,"Sep 1, 84",3,24,27,33,41,44,4
100,"Aug 25, 84",5,11,12,16,24,28,34
101,"Aug 18, 84",12,13,15,35,38,39,4
102,"Aug 11, 84",5,6,10,20,40,43,26
103,"Aug 4, 84",1,10,18,27,35,38,30
104,"Jul 28, 84",2,5,29,35,37,38,39
105,"Jul 21, 84",2,7,34,36,37,40,15
106,"Jul 14, 84",6,16,26,28,41,49,34
107,"Jul 7, 84",6,11,20,23,25,35,37
108,"Jun 30, 84",13,15,27,28,40,48,30
109,"Jun 23, 84",7,16,28,34,45,47,23
110,"Jun 16, 84",26,27,37,41,43,45,13
111,"Jun 9, 84",6,17,29,32,39,40,47
112,"Jun 2, 84",9,16,31,38,43,45,5
113,"May 26, 84",1,3,40,43,45,46,7
114,"May 19, 84",1,4,14,17,21,26,31
115,"May 12, 84",6,16,19,20,25,43,40
116,"May 5, 84",1,5,6,18,31,35,3
117,"Apr 28, 84",16,24,25,28,32,44,2
118,"Apr 21, 84",8,13,16,18,19,49,11
119,"Apr 14, 84",3,12,31,33,45,49,6
120,"Apr 7, 84",13,27,35,38,44,47,21
121,"Mar 31, 84",12,19,22,23,29,36,25
122,"Mar 24, 84",8,27,28,29,43,44,15
123,"Mar 17, 84",6,26,28,36,37,48,23
124,"Mar 10, 84",2,17,41,42,44,47,29
125,"Mar 3, 84",13,26,27,38,46,47,6
126,"Feb 25, 84",23,27,40,43,44,47,33
127,"Feb 18, 84",4,12,16,31,44,48,41
128,"Feb 11, 84",22,29,36,44,46,47,24
129,"Feb 4, 84",20,26,28,30,45,48,25
130,"Jan 28, 84",15,24,27,32,34,49,25
